candidate_name,roll_number,contact_number,branch,email
prashant kumar,118,7781058629,cse,prashant1
gaurav kumar,19,7781058622,ece,gaurav1@gmail.com
deep bhagat,20fdd,7781058621,ece,deep1@gmail.com
chirag sahu,21,7781058675,cse,prashant1@gmail.com
divyansh kumar,22,778105869,ece,gaurav1
saurav gupta,23,778105869,cse,deep1@gmail.com
kishan jee,24,7781058qw69,ece,prashant1@gmail.com
srinath,25,778105869,ece,gaurav1@gmail.com
6,26,7784565545,ece,deep1@gmail.com
prashant kumar,27,7784565545,ece,deep1@gmail.com
gaurav kumar,28,7784565545,cse,prashant1@gmail.com
deep bhagat,29,7784565545,ece,gaurav1@gmail.com
chirag sahu,30,7784565545,cse,deep1@gmail.com
divyansh kumar,31,77845655er45,ece,deep1@gmail.com
saurav gupta,32,7784565545,ece,prashant1@gmail.com
kishan jee,33,7784565545,ece,gaurav1@gmail.com
srinath,34,7784565545,ece,deep1@gmail.com
umar,35,7784565545,cse,prashant1@gmail.com
prashant kumar,36,7784565545,ece,gaurav1@gmail.com
gaurav kumar,37,7784565hvfdc545,cse,deep1@gmail.com
deep bhagat,38,7784565545,ece,prashant1@gmail.com
chirag sahu,39,7784565545,ece,gaurav1@gmail.com
divyansh kumar,40,7784565545,ece,prashant1
saurav gupta,41,7784565545,ece,gaurav1@gmail.com
kishan jee,42ee,7784565545,ece,deep1@gmail.com
srinath,43,7784565545,cce,prashant1@gmail.com
prashant kumar,44,7784565545,ece,gaurav1
gaurav kumar,45,7784565545,ece,deep1@gmail.com
deep bhagat,46,7784565545,ece,prashant1@gmail.com
chirag sahu,47,7784565545,cce,gaurav1@gmail.com
divyansh kumar,48,7784565545,ece,deep1@gmail.com
saurav gupta,49,7784565545,ece,deep1@gmail.com
kishan jee,50,7784565545,ece,prashant1@gmail.com
srinath,51,7784565545,ece,gaurav1@gmail.com
umar,522,7784565545,ece,deep1@gmail.com
prashant kumar,53,7784565545,ece,deep1@gmail.com
gaurav kumar,54,7784565545,cse,prashant1@gmail.com
deep bhagat,55,7784565545,ece,gaurav1@gmail.com
chirag sahu,56,7784565545,ece,deep1@gmail.com
divyansh kumar,57,7784565545,ece,prashant1
5,58,7784565545,ece,gaurav1@gmail.com
kishan jee,59,7784565545,cse,deep1@gmail.com
srinath,60,7784565545,ece,prashant1@gmail.com
gg,1,12345678,ec,23
f,1,1,ece,1
