CANDIDATE NAME,ROLL NUMBER,CONTACT NUMBER,BRANCH,EMAIL
PRASHANT KUMAR,RA18,7781058629,ECE,prashant1
GAURAV KUMAR,RA19,7781058622,ECE,gaurav1@gmail.com
DEEP BHAGAT,RA20,7781058621,ECE,deep1@gmail.com
CHIRAG SAHU,RA21,7781058675,cse,prashant1@gmail.com
DIVYANSH KUMAR,RA22,778105869,ECE,gaurav1
SAURAV GUPTA,RA23,778105869,cse,deep1@gmail.com
KISHAN JEE,RA24,7781058qw69,ECE,prashant1@gmail.com
SRINATH,RA25,778105869,ECE,gaurav1@gmail.com
UMAR,RA26,7784565545,ECE,deep1@gmail.com
PRASHANT KUMAR,RA27,7784565545,ECE,deep1@gmail.com
GAURAV KUM12AR,RA28,7784565545,cse,prashant1@gmail.com
DEEP BHAGAT,RA29,7784565545,ECE,gaurav1@gmail.com
CHIRAG SAHU,RA30,7784565545,cse,deep1@gmail.com
DIVYANSH KUMAR,RA31,77845655er45,ECE,deep1@gmail.com
SAURAV GUPTA,RA32,7784565545,ECE,prashant1@gmail.com
KISHAN JEE,RA33,7784565545,ECE,gaurav1@gmail.com
SRINATH,RA34,7784565545,ECE,deep1@gmail.com
UMAR,RA35,7784565545,cse,prashant1@gmail.com
PRASHANT KUM22AR,RA36,7784565545,ECE,gaurav1@gmail.com
GAURAV KUMAR,RA37,7784565hvfdc545,cse,deep1@gmail.com
DEEP BHAGAT,RA38,7784565545,ECE,prashant1@gmail.com
CHIRAG SAHU44,RA39,7784565545,ECE,gaurav1@gmail.com
